username	date	value
0013f5220febcb8c9ce93a109191cf81f70d7d32f943ba47ae9c74f41361311f	20140415	1
002a3aef5b9199c416d56c9d0eec0cdaec67aa1d56a971a059f221a4c71b39ae	20140306	1
002be56f070d1452038fad456c9160c26761be356beab397a233b9e0c09faee6	20140303	1
002d7d3c91c925e559f177aaa979db3f26fc701f57277e3937c33e5535b2c8ae	20140326	1
0082c123ebb9e1c54940fd2cd8c18a3d3c6a9a27dcb2380e3fe06709af243ac1	20140312	1
00c32bc96b90ff2170a0489d2ca5936823a3d8985073cfb50c6e1700bde19955	20140415	1
00f40c9d44ed731ecdc6ad8ca4f2fc64ff30a29d1eadd089162a13181e4da6f2	20140406	1
011b0befd1d887b055d6fe004b8f21344e5125dfaa65ecd71c72b86547d3953b	20140419	1
012e865ab68a083bd953d7ddd4b7e5b2d09a624735123ede3d26b63536aa0f82	20140324	1
015359d72a629f67b9806ae0790e43ae98e317d18557e645a06d67eac85ab058	20140402	1
0186b4294dec8feaa7d7e777f1fa9c1ccd988c632df2018c00c028fb5f255daf	20140410	1
01dd2943d782b4e25fb9edf8e8e5173f4ea2d124af1b76f08eaed4c58855b4c1	20140324	1
01e3a2e12b1ef83f8f698434d84a3017d6a1d18373b56f934a6c5d58b1a16a73	20140416	1
01fa857ffe42187978b4d437755e8ead7f34d45dc9bd7261dea58f49eb47174f	20140322	1
024325227a789e6621f6ee6d7f8c7efe35c34b82a2872779ac0de695f59f8b9d	20140410	1
02593cf54e300a6224be3d9d939ff748d369fb385b9d8d4c0014fa3f55a2e507	20140325	1
0261be12324db4d9674b2623ba2855c8e80d77c3ef142e312ea750aafd559970	20140328	1
0264a2507b882e2bf38627c33bc45eb604dcb734f571f80b5529263e6020378d	20140321	1
029d53b6c6c31b0f9f36ac8bca65fed99034e072b585d04d6c77b3e1703d2307	20140404	1
02af012f6f5b4b3f077858c60e4c6a2f72e9b0879a0050748ade1dbb7dd1c9d3	20140413	1
02b113c044e147c84212629bd816c5b1d69df622b0acc40978d1dc224365729d	20140320	1
02c0d5bf13e62bc5ee6acdcb518d3a3ce239a43ef24284d25eb1084a8cef4511	20140402	1
02ea84b1d50f32c9ad4d3f60d398a96da3ea2cb065c559e27825df1a40c47b51	20140407	1
032ad2acf2a7986836828311b79c173df9f3c3162552c880a128d4bc4c4a634c	20140401	1
0349fe7ecd4c9619f65b41c325126602679dcfc93c7c100afdf917e83aad6bea	20140402	1
03dcbbeb59fda44949dbb46c18a3e2e5b2be5521d7a8f186c1fa3e40c91eef12	20140301	1
045b456e87930235868f7b4a9680c80295f762f703f355e6e83764a02614f1b0	20140412	1
045deafdd13fdafad11cf453b7ec4ecd1d8678a375f5edeaed197ac6523d60c2	20140318	1
045deafdd13fdafad11cf453b7ec4ecd1d8678a375f5edeaed197ac6523d60c2	20140325	1
045deafdd13fdafad11cf453b7ec4ecd1d8678a375f5edeaed197ac6523d60c2	20140401	1
04826f541d7f53c554c8c5bc3422fe547144c46b78b9456b7348e967071aeb60	20140413	1
0484d039462ca6c3f066bf89835f5ab3d208c672fb93611985d91e41052a72e1	20140405	1
0484d039462ca6c3f066bf89835f5ab3d208c672fb93611985d91e41052a72e1	20140417	1
04e4cb4f8ae214cfcce4d2b9b25798de132d3a97ec539dfddf563affaa47a081	20140406	1
0504ff3e22578f04e5d6ecebc2e9b681f1274b69ebf647afe8396b44bd6c2f17	20140324	1
0504ff3e22578f04e5d6ecebc2e9b681f1274b69ebf647afe8396b44bd6c2f17	20140328	1
0504ff3e22578f04e5d6ecebc2e9b681f1274b69ebf647afe8396b44bd6c2f17	20140331	1
0504ff3e22578f04e5d6ecebc2e9b681f1274b69ebf647afe8396b44bd6c2f17	20140401	1
0504ff3e22578f04e5d6ecebc2e9b681f1274b69ebf647afe8396b44bd6c2f17	20140403	1
0532dc86234a85f2251a83878b30f2a16004189bc9b06c80730e8880c75e7b8c	20140331	1
0540513c5b2b25be28b0a53c2e25991b9ab7526231c9a59bf191792791adda84	20140411	1
05907863bc998f3287971090583056eb2855cc54d76fc85de6b655d56c5ddf78	20140408	1
059cfc1ba86ce7c69514bca73608b022c1e8e1ee0023dda2663a9c9b5332ec09	20140411	1
05ae373ab609304da2f5fb9fba4cafb4e9816e8bbf0ad1db995e82f220406251	20140413	1
0614dcc6870ee7ac555989c16b9f8b5e842260d068149b9ad10d806e061e1e5f	20140321	1
06321df13ce028860b92e6a4013c1cdad9fa3ac2f202705937c5bf76709a562f	20140420	1
064156c626ab5d7fe0f45bfdc992d6467cc7851ccddedb64d7b25428fbee3085	20140321	1
068bb085406f67717016e490e586268f471c278ef9dba58db2ace16c9cb26e4c	20140321	1
069f4380f44562393666ee9ef671ed8d7c5e03d62d287492d468327d899bbfce	20140410	1
06a87864ec47b8391b583aa1f4007419bb36980e7481d0fcddcf3feba0955af3	20140413	1
06a90bcf5483d5fc940b3a773398ae639841bb79fb7bb3d8dc29773d3ed7b914	20140412	1
06e12b815bde5be54bc2a72991e4ccaec0bbb487d9ae2b5879e5acc6d99e976d	20140415	1
06ec8694685a38f029c909a02397793b96ed873cd8eaf95295ea1503536b1286	20140306	1
070d4a1a1f6474f47d2f06944c8ac97b88ee08081d4d6d4d0238881844495ffe	20140415	1
072e3d3766cd4eb6ae1a43bb072bb2e91bfcf505210909dda3ed5d7baab80c0a	20140328	1
078dd16cb6363360507b095e5863c82078995e5048e41f4f5d0d5e548c47a249	20140404	1
07909915a242104c75099ab5d62884ff77c7c9c3ab425ec11659a80d9c26d684	20140411	1
0796241f58c65ce55a94881af039b4e7af1d88a97ab26587c4cb8c859708f653	20140320	1
079e4d5e700cb03db1a04209da21f0f60929949328986f1b4579dbccb7d59682	20140320	1
079e4d5e700cb03db1a04209da21f0f66a63f53ffa9b3e65d7a660850da75986	20140312	1
07ed4b2b93e17de68bb8362d82a87a01fd04e2e33d76c19acaeaaef6761372ef	20140306	1
0805905f05e60eacc068848858f0a20c0aebd1d32f30f8cc648e0b2d69188495	20140329	1
083183cf99c135d41bdb0e89ea4d1f0270af2aca8283399d1c4c5a5d20b4678a	20140319	1
0847c199385f971bb457f4f55c53b915a178b0f7e884b0f84e3ba69838a84f0e	20140322	1
089326513cfb0a0cad501a190f2af327a51dcaefa3ef679da6105e5ab3e55c0b	20140419	1
08c4bc61e3924dcacda439081421d555504c9462e073df156887367ec88998b6	20140411	1
08f1db0b24487da11e3bd9c9d6bf127f1cb7ab9fbeec85f148bbe3e446ed6f8a	20140329	1
