username	date	value
f9fbfca4604f3879772955bd8d53f3f19830a5afd086b12e3d12ffcb89090078	20140408	1
fa360ec1ef564b27173db0d05dda0054943c8e1f5e6b1301105f32ee8281564c	20140412	1
fa48ec4ae014cc2a084394667006697ed6b26326c4ef5db7a27109c4a0fd63e9	20140410	1
fa65302c935bd174bd91c1f5cf897fb65f0575f786f763b404809497e0312778	20140411	1
fa711648b9a8a50d24ac0fd541ff8974a100da1d3d5e01ed0579bd2de75be389	20140328	1
faadf8b1e31a60445f209b74b545669b0167a29f06f4106d98e52f7ca0a79151	20140331	1
fab87716bec8e1ab17fafbdfdb89e49433cc0e9fdff98dcdaeb539512de9c996	20140331	1
fac1f0cdedfef9ebfb38c358febf50935c6adfb39e0baad845b518e841425fb4	20140328	1
fac8ed5a2c0a3a3788aa55f3264dcd0c2eafe2780632115b6ad919a92144c493	20140412	1
fb09ef255247627343d1c08eaffa78790c8c198446498b4246c939154796639d	20140331	1
fb5bcc2db191fa8842c7e06657aeeb40cb6925e4f9aaaaa3a85761aa29aa7f80	20140403	1
fb9b50231a8025c15955e0a815af5da869b075ecf5901b9330e5ab29e10b1e94	20140416	1
fc1e74b3a4d1c4a3e2c7a630f4a7bf2fa38e5bb04c1f2967a77c1c5b74038f43	20140412	1
fc3d4b177a942f6b29b4b11853d92d8d647331c686a8a0a0a2077b1217b88a71	20140416	1
fc4b0e906512c3647c746419dc0e8d1b1b0ad7246899bc5caa6f82e70fe8e4df	20140415	1
fcc82fa62eac90c2a80d1559cd56a1d65858e316916acdc3e7869cee3f35cad7	20140410	1
fcd47a3b7a2e2e86acea8a40a0a34f42f3721185d37548285b5fd99c6a1d28e1	20140401	1
fd069d8b6171d891191de220db5e8a6bb07159659a1fb000325834d42a14c895	20140414	1
fd2bb2a1402afdae4c79dc93621e2b38fd88835bbea3cef1d03ba6a550ecdbc9	20140312	1
fd2bb2a1402afdae4c79dc93621e2b38fd88835bbea3cef1d03ba6a550ecdbc9	20140409	1
fd3a3ca94efeaf7a95c70e5838b56f0dc075546bc00d2b69eae968c73be18a79	20140415	1
fd5f4355776c74111ec4cbe25f2caed1f3732c179cf16d7a5132a34be02ce44a	20140409	1
fd88bd7baf6e5d79a623e2c69a3ceb9787f8c8ce7000e273f3f5016666077d5c	20140324	1
fd88bd7baf6e5d79a623e2c69a3ceb9787f8c8ce7000e273f3f5016666077d5c	20140407	1
fd88bd7baf6e5d79a623e2c69a3ceb9787f8c8ce7000e273f3f5016666077d5c	20140410	1
fd88bd7baf6e5d79a623e2c69a3ceb9787f8c8ce7000e273f3f5016666077d5c	20140414	1
fdc3fba3e2c68f1cff79f48c181edf82735dffe7da1c796f9da3d672cab40446	20140401	1
fe7a73afb1828a92ed1483c067964500497af7351c37437be19f6c5c0cc5d2ff	20140416	1
fe84cb25c48abcb4bc0e5ec21499582e4e92b1d46455465263e6a18242737d12	20140331	1
feddcad9933dee08c7ed67b91f83a79449f8780259738abb6ee75bb6ed935532	20140415	1
fee188bf19cf55bb02d0c6bf48d3bbff07e295532144d4ccb6a65e1ace02f771	20140331	1
fef9065f92e5c526857898c2be7a5bf9a4030ac839d7af552c2df87939887ffb	20140418	1
ff3b8fe7cafe0ba3a340d10826425ab7ec5c430d673a7521c7e63a3e5d9096d6	20140328	1
ff4ca1a273d6f1c2af43afcfc09625ff43efc5b8de4ccf4b2a6db4f704668bf9	20140304	1
ff65f9fc9f218f78569e874d0d085f9344fdf5064c1aca3495e6d41485353060	20140327	1
ff65f9fc9f218f78569e874d0d085f9344fdf5064c1aca3495e6d41485353060	20140408	1
ff730ac4f04ea1d62aeb921af699dad07609c3edd7dcb5d971fe68f6039c21cd	20140329	1
ff91fd02edf814ab65e26da0788059e00807e17195cbb685bf247b6e85816f20	20140421	1
ffb8524533d0fcd412b21f2bf27e255c72c9e1a9e1c2f2099bd6efb08b7658c6	20140410	1
ffd8c9643a91403cdcdcd7a5ccff85eddb5bccb00665da048a31010bff4f4580	20140401	1
ffd8c9643a91403cdcdcd7a5ccff85eddb5bccb00665da048a31010bff4f4580	20140404	1
ffd91acc16adc49fcb742bb2d73ac23a0e5e3aab91b69e5338251f6de62dddd1	20140324	1
ffecaeb830956f7b3641593466a9dbe5ab6b8d0e60e4bd1a3a480975050ae62e	20140407	1
fff5615ac9db8ae2fec63ba1ea20ae7d08cdf65366dc6bc704f6b0664797cb74	20140325	1
ffff0855624edecd24dabba0fd7f3d00f3bee3e47075cc6b4681438a11019ab3	20140408	1
